epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,596.361,0.74274,0.54055,0.93908,0.47979,0.67853,0.48276,0.35604,0.98881,1.56714,1.04751,0.00026422,0.00026422,0.00026422
87,601.561,0.75577,0.56472,0.9474,0.41497,0.72231,0.44461,0.31916,0.98888,1.91086,1.04559,0.000247716,0.000247716,0.000247716
88,606.851,0.74615,0.5396,0.94031,0.42263,0.72324,0.46384,0.33805,0.99744,1.72419,1.04467,0.000231213,0.000231213,0.000231213
89,612.331,0.73329,0.54575,0.9255,0.41927,0.72149,0.45923,0.3336,0.99443,1.8272,1.0438,0.00021471,0.00021471,0.00021471
90,617.585,0.74431,0.54552,0.93651,0.47458,0.73321,0.4887,0.3523,1.00415,1.49239,1.04401,0.000198206,0.000198206,0.000198206
91,623.628,0.69477,0.48127,0.90756,0.41824,0.74522,0.45288,0.32658,0.98221,1.78653,1.04482,0.000181703,0.000181703,0.000181703
92,628.857,0.67196,0.4624,0.89621,0.4392,0.76396,0.49604,0.36213,0.98568,1.76823,1.0537,0.0001652,0.0001652,0.0001652
93,634.069,0.66856,0.43956,0.89311,0.44001,0.70175,0.47065,0.34391,0.97094,1.78651,1.04338,0.000148696,0.000148696,0.000148696
94,639.256,0.66284,0.4287,0.89923,0.40995,0.72347,0.45246,0.33079,0.97292,1.77865,1.04322,0.000132193,0.000132193,0.000132193
95,644.398,0.65788,0.41596,0.90793,0.49579,0.60331,0.46769,0.34655,0.98366,1.835,1.04371,0.00011569,0.00011569,0.00011569
96,649.584,0.65624,0.40948,0.89256,0.42016,0.73448,0.47895,0.3496,0.96936,1.80906,1.04176,9.91865e-05,9.91865e-05,9.91865e-05
97,654.844,0.64774,0.40321,0.89088,0.41756,0.74226,0.46585,0.33601,0.98222,1.90187,1.04791,8.26832e-05,8.26832e-05,8.26832e-05
98,660.069,0.63538,0.39964,0.88484,0.43352,0.72112,0.47115,0.34078,0.97383,1.88184,1.04716,6.61799e-05,6.61799e-05,6.61799e-05
99,665.273,0.64095,0.4033,0.89071,0.49897,0.58609,0.48275,0.34655,0.97552,1.87619,1.047,4.96766e-05,4.96766e-05,4.96766e-05
100,670.492,0.63977,0.39844,0.88548,0.44698,0.66058,0.47246,0.33841,0.97287,1.83069,1.04426,3.31733e-05,3.31733e-05,3.31733e-05
